名字,性别,时间,评论,点赞数,回复数
圣德堡魅影卡丁车,保密,2019-06-27 08:41:39,只有我一个人觉得这个节目的结局处理得真的好吗？既有冠军又有出道的机会，用主持人的话说巧妙[doge],2,1
寒蝉Z2,男,2019-06-27 08:41:20,所以说为什么明明叫《卡罗尔与星期二》，却在星期四更新( ´_ゝ｀),0,0
茶羽花,女,2019-06-27 08:40:33,这真的是大起大落，本来以为还是之前那首歌心里还有点落差，不过想想首尾呼应也就算了，没想到听到后面竟然还有后续，落下的心又被吊起来了,0,0
ShawDing,保密,2019-06-27 08:40:23,说真的，太感动了，听着听着眼睛就滚烫汤的。。。,0,0
霖落2018,男,2019-06-27 08:39:49,人生不是每个人都在全力火开，但平平淡淡的孤独是每个人都有的。,0,0
伊萨米,男,2019-06-27 08:39:11,这集可以吹了，希望结局不错[点赞],0,0
乌骨时,女,2019-06-27 08:38:36,不知道为什么，听哭了,0,0
名字,性别,时间,评论,点赞数,回复数
松鼠打不过仓鼠QaQ,男,2019-06-27 08:38:23,音乐板块，你只有一小时时间,0,0
若夕为昭,保密,2019-06-27 08:38:08,其实安吉拉和CT有共同之处，就是“孤独”，这次的歌曲也是，安吉拉是决定自己和孤独战斗，而CT却有幸遇见了那个无可替代的人,24,0
潘德拉贡不会打怪,男,2019-06-27 08:38:06,"卡罗尔与星期二（✘）
火星好声音（✔）",1,0
猫子明宇,男,2019-06-27 08:37:28,怎么感觉好像结局一样？是结局了？,1,2
常夏如歌,男,2019-06-27 08:37:22,T老妈工具人,0,0
紫雲代言人,保密,2019-06-27 08:36:29,根  你怎么了,1,0
一只神秘的细菌,保密,2019-06-27 08:35:24,意外的皆大欢喜,1,0
SkyAW,保密,2019-06-27 08:35:19,肯定还没有完啊，才出道才开始啊，而且op都还没有唱过呢，本来以为决赛唱，结果是LG的升华，添加了上一集carlo的经历的部分，真的很惊艳，op估计是后面T给carlo表白唱了[doge],2,0
墨米凌,女,2019-06-27 08:35:13,安吉拉赢了，C&amp;T也出道了，真好,1,0
詹金斯潘德拉肯,保密,2019-06-27 08:34:39,妈妈难道不觉得，自己有一个顽强拼搏，热爱音乐，不依靠家庭独自追求梦想的女儿在媒体那边很加分？？？我完全不懂，就这脑子还当啥政治家啊,10,0
縉雲無月,男,2019-06-27 08:34:34,所以13集还有没有了。。。。,0,0
涼宫春日的暴走,保密,2019-06-27 08:33:48,"这集的容量太大了，剧情有点多，比较仓促
手绘转描live部分似乎越来越仓促了，下周都来总集篇了，后面还能撑得住么",0,0
哈纳trtr,保密,2019-06-27 08:33:44,为什么我的眼里常含泪水，因为12集太好看了呜呜呜呜呜呜呜呜呜呜,0,0
尘封的尘,女,2019-06-27 08:33:36,回到原点，也是新的开始[芮小凸小凹_超棒],0,0
SkyAW,保密,2019-06-27 08:32:09,op还没唱过，结束什么，本来以为决赛唱op的,0,0
请叫我蛋总,男,2019-06-27 08:31:18,过分了啊，那么好听,0,0
我只是个小孩,男,2019-06-27 08:31:01,太强了，没见过只凭音乐就能达到这个成就的番剧,0,0
地球を守る,男,2019-06-27 08:29:33,哇，我枯了(´；ω；`),0,0
宇宙萌王伊莉雅,男,2019-06-27 08:28:05,这集的高级弹幕，大佬们怎么说[小电视_笑],1,0
带上我浪里个浪,女,2019-06-27 08:27:53,后面两首歌居然对上了！！！！后面一首仿佛是对安吉拉的回答，鸡皮疙瘩都起了,1,0
名字,性别,时间,评论,点赞数,回复数
求问怎么脱非急急急,女,2019-06-27 08:27:39,不戴耳机是感觉不到这个番的灵魂的[2233娘_卖萌],0,0
小白咋上天了,保密,2019-06-27 08:26:59,阿提根被玩坏了,1,0
挞挞哒哒,保密,2019-06-27 08:26:51,安吉拉我爱你啊啊啊啊啊,0,0
哔哩哔哩吼BII,保密,2019-06-27 08:26:49,什么时候能听主角唱rap？,0,0
钢弹の史莱姆,男,2019-06-27 08:26:12,有谁跟我一样   看完第12集又点开了第2集   如此循环[画风突变],0,0
主上丿B站大爱,保密,2019-06-27 08:23:58,果然音乐可以感动人的,0,0
IAMLing,男,2019-06-27 08:23:43,本来最后一段都听哭了，硬生生被经纪人哭笑了[蛆音娘_滑稽],1,0
薄生-,男,2019-06-27 08:23:32,"安吉拉，心中的艾特根：这个演出会名留青史
卡罗尔和星期二，心中的艾特根，糟了，这种直击灵魂的感觉，这首歌，我落泪了，虽然我是猛男。[蛆音娘_滑稽]",18,0
羽墨轻w,保密,2019-06-27 08:23:15,。。后排咨询。。有大佬提取做mp3的吗[大哭],0,0
波吉亚咸鱼,保密,2019-06-27 08:23:14,呜呜呜这集我简直是哭死了！回到原点这个做法真是太赚眼泪了,0,0
yetengshe,男,2019-06-27 08:23:04,我需要这首歌的片源啊！！！,1,0
klesdia,男,2019-06-27 08:23:02,看这集标题名还以为王若琳要登场了[大笑],0,0
苡米ing,女,2019-06-27 08:22:47,这一集我一边哭一边笑,0,0
萨湿gay,保密,2019-06-27 08:22:22,一遍又一遍听，一遍又一遍哭The Only Boy,0,0
语气奔溃,男,2019-06-27 08:22:10,B站现在好多番剧不能缓存是怎么回事。。我网好的时候看一点问题没有。网不好的时候窝想循环播放都不行。。,1,2
那啥萨斯,男,2019-06-27 08:21:40,爆点集中，结尾也不分层，渡边还是不耍虚的；为了这点，多少省去一些细节，可以理解，不算赶。这一集，三位还是原来的样子，但是歌声……算了，第一次说一句：AWSL[响指],1,0
109xhkkk,女,2019-06-27 08:21:40,安吉拉的歌我好喜欢，the loneliest girl还是听得我想哭！我永远喜欢她们！,0,0
这个人类不太黑,保密,2019-06-27 08:20:33,"番名
《CAROLE&amp;TUESDAY》  (✘)
《论罗迪的正确使用方法》  (✔)",961,2
忧漪忘,女,2019-06-27 08:18:54,好看！,0,0
吐泡泡的金鱼,保密,2019-06-27 08:18:30,"[doge]哈哈,预测100%,果然是安吉拉第一...编剧厉害,这样的安排都不会难受...
本集核心亮点: 塔奥那小女人般的撩发....AWSL... 
个人最狂妄的塔奥的真身猜测,希望快点揭晓",6,1
名字,性别,时间,评论,点赞数,回复数
tyronetyler,保密,2019-06-27 08:18:02,太好看啦!!!~~~我讚爆阿!!~~~~~[大哭][大哭][大哭],0,0
迷途丶Tourist,保密,2019-06-27 08:17:20,经费唱完了,0,1
Kal-El肌肉卷,保密,2019-06-27 08:16:51,安吉拉[请吃红小豆吧！_wow]我的大明星[小电视_哭泣],0,0
Kiri_Houunji,男,2019-06-27 08:16:51,果然参加选举的都是人间之鉴,0,0
云雨小巷,保密,2019-06-27 08:15:37,这是半年番？还是十三集,0,1
灬Lemon灬丶,男,2019-06-27 08:15:27,你们仨干脆去成立个C&amp;A&amp;T女团[小电视_我好兴奋],0,0
出售史莱姆娘,男,2019-06-27 08:14:02,那个老爷子不会是T他妈妈的竞争对手吧,1,0
云雨小巷,保密,2019-06-27 08:13:44,不眠神人,0,0
卷毛君丶银时,男,2019-06-27 08:12:49,看了看评论，说实话我很诧异，居然有这么多人觉得这两集差强人意[小电视_吃惊]，可能是我要求太低了[请吃红小豆吧！_喝水]。嘛，毕竟骨头社是第一次尝试这种类型的番，我觉得诚意已经拿出来了，相信会越来越好吧。,0,2
马鸽鸽的防晒,保密,2019-06-27 08:12:49,更新的第一时间，辛亏今天早上考试[惊喜],0,0
六鷁退飛,女,2019-06-27 08:12:46,心疼我滴罗迪小天使，他怎么这么好！希望两位女主给我们罗迪更多一点关心把[小电视_哭泣][小电视_哭泣],0,0
亲爱的北方君,男,2019-06-27 08:11:56,十一集那个热评说养一个星期就好了，没想到啊,0,0
缇耶利亚,男,2019-06-27 08:11:52,"13集预告：
特妈不同意这门婚事，决定拆散卡特组合。
安吉拉决定对女粉道歉，女粉原谅了安吉拉。
眼镜ai男被主角光环影响，发现ai写作确实没有灵魂，决定要环游世界靠自己写出一个震惊全世界的曲子，成为一个光荣的反ai大部队的一员。
西贝尔情伤过度，选择接受家里的要求，嫁给了一个大肚子成功男人。没过几个月郁郁而终。
哥哥想要让妹妹得到她应有的幸福，买了两张去其他国家的船票。
特妈派人想把卡特追回来，被爆丑闻，选举失败。
卡特两人取代了克里斯塔成为当时最成功的女歌手组合。
经纪人在监狱里和小罗一起写出了这部动漫的小说原型。
END.
[蛆音娘_滑稽]",20,1
鸭滑级的老大丶,保密,2019-06-27 08:11:18,我特别怕安吉拉唱完时mamo来句：fire,0,0
薄生-,男,2019-06-27 08:11:02,罗迪和大叔在哭的时候，原谅我笑出了声[2233娘_大笑],11,0
玩文非深,保密,2019-06-27 08:09:58,不同的人喜欢不同的音乐。。   这剧的胜败都是为了剧情服务的，我们观众没必要去争个高下吧？,1,0
澈风w,男,2019-06-27 08:08:49,今天剧情好迷。。。最近几年剧情都好迷。。感觉番的质量下降了。。。,0,0
喵团砸O-O,女,2019-06-27 08:08:42,真的好感动，看他俩唱歌都不由自主的流泪,0,0
目桐梓,女,2019-06-27 08:08:33,吓得我以为完结了[灵魂出窍][灵魂出窍][灵魂出窍],1,0
卖艺,男,2019-06-27 08:08:27,粗鄙之语+下周的粗鄙之语,0,0
名字,性别,时间,评论,点赞数,回复数
普通雕鸮咕,保密,2019-06-27 08:08:20,"The loneliest girl(歌词听写,二段补全)

第一段放不下所以略

Can you really love with a broken heart
In the cold rain
I&#39;m giving a nearly try
I let it fly
you can get me in

So when the night falls
I&#39;ll be on your side
Cause eyes don&#39;t lie
Cause mind in the filling hearts
can nothing in the hide
It&#39;s my only burst

Can you feel my
Can you feel my
Can you feel my tears they won&#39;t dry
Can you feel my
Can you feel my
Can you feel my tears they won&#39;t dry
Can you feel my
Can you feel my
Can you feel my tears they won&#39;t dry
Can you feel my teardrops of the loneliest girl
The loneliest girl

keep it keep it close   to your heart
and you won&#39;t go
keep it keep it close   then you&#39;ll start 
to grow

二段我依旧不保全对～(￣▽￣～)b站这个字幕也是不太懂他们的想法，我还以为这次不用练英语听力了，结果今天又没有了？好吧好吧...一会我再去补上安吉拉的，最后一次了要有始有终",1,1
噩梦菌主,保密,2019-06-27 08:08:07,虽然这几集剧情有点迷，但是歌是真的很棒！,0,0
我是瓶砸,男,2019-06-27 08:08:05,正常唱歌9.9稳的不行，骚操作开始了？,0,0
骨头社的小骨头,女,2019-06-27 08:07:49,在我听主角组唱歌陷入感动之际，弹幕里冒出一句又水了，我真是想打爆你狗头，气死我了,1,0
r3xiN,保密,2019-06-27 08:07:46,标题是卡彭特的歌吧,0,0
我有点想中奖,保密,2019-06-27 08:07:35,原来你们说的早点睡，是吃完早点再睡[灵魂出窍],0,0
少女爱者,保密,2019-06-27 08:07:17,那一日，人类终于想起了被老妈按在地上摩擦的日子。,4,0
ZAYA_奥比里丁娜,保密,2019-06-27 08:06:18,还没完结，我就把你们撒的花瓣拿去泡澡泡脚了。hei tu～,0,0
小熊の奶糖,保密,2019-06-27 08:06:13,给我听哭了，太好听了！[2233娘_大哭],1,0
有证路人,男,2019-06-27 08:04:24,感动，太棒了！！！,0,0
骨头社的小骨头,女,2019-06-27 08:04:23,看到后期感觉全员主角，每个人我都好喜欢，虽然主角的存在确实有点减弱。,0,0
一HeaW一,保密,2019-06-27 08:03:48,"冠军是安吉拉，但是安吉拉和c＆t都获得出道机会。
有歌听就满足了。
不过这ai的设定是有点厉害。",0,0
devilkert,保密,2019-06-27 08:03:47,散花??,0,1
亿万小佬,男,2019-06-27 08:03:21,谢谢制作组 神回预定,0,0
丿Assassins,男,2019-06-27 08:03:13,上一次那么感动 还是狐妖小红娘20集那首梦回环,0,0
七二二,女,2019-06-27 08:02:56,啊啊啊啊最后的歌泪目了！！！！！[大哭][大哭],0,0
超级克里特,男,2019-06-27 08:02:54,第二部：Carole&amp;Tuesday&amp;Angela,0,0
Faylyan,男,2019-06-27 08:02:28,所以，总集篇之后……是不是就要准备迎接OP2和ED2了？！[滑稽],0,0
深秋啾,保密,2019-06-27 08:01:18,爱豆终于出道了，我要凌晨4点去火星看演唱会[doge],0,0
Tomoya丶Nagisa,男,2019-06-27 08:01:15,"特斯黛手受伤时，弹幕破口大骂，骂西贝尔，骂安吉拉的妈妈和助手；
证据指向西贝尔的妈妈时，弹幕“我就知道肯定是她”、“这个人妖真恶毒”……怎么恶毒怎么来；
证据又指向西贝尔时，弹幕一边给妈妈道歉，一边又同样的骂向西贝尔，怎么恶毒怎么来；
后来证据又混乱不清时，弹幕又开始向西贝尔道歉，一边又随意猜测凶手，随意开火。
住手(口)吧！愚民们！因为网上随意发表的恶毒言论所造成的悲剧还不够多么！？如果这件事情发生在三次元，被你们辱骂过，冤枉过的人的心灵将会受到你们多少次伤害啊！！！而你们，隔着网络和屏幕，肆意发表着自己的猜测和人身攻击，可曾想过你说的这些话会造成怎样的后果？！……对，什么后果都与你们无关，关掉屏幕，大步走出门，你们又是一个新时代好青年！！
醒醒吧！醒醒吧！！醒醒吧！！！",1755,123
名字,性别,时间,评论,点赞数,回复数
我永远喜欢エルキドゥ,男,2019-06-27 08:00:48,17;51—20:53无限循环中,0,0
zhifeicao先生,保密,2019-06-27 08:00:38,本来就有24集，为什么一帮人在12话结尾刷什么完结撒花[小电视_汗],0,0
第六天魔王信長,女,2019-06-27 08:00:34,别害怕！有总集篇是好事，免得制作组为了赶进度而降低质量,2,0
大帽儿,男,2019-06-27 07:57:13,谢谢，罪域的骨,0,0
次元线妄想者,男,2019-06-27 07:56:57,弹幕翻车是只有原创番才能看到的精彩，没有剧透真好。,45,2
晟宸AnD溟宸,保密,2019-06-27 07:56:54,这集安吉拉的歌的歌词好适合特斯黛啊,0,0
五等分的欧皇,保密,2019-06-27 07:55:57,什么都不说了，神特么第12集好吧！,0,1
七曜神父,男,2019-06-27 07:55:53,安吉拉的歌超棒啊[微笑],0,0
大大豆豆大大,男,2019-06-27 07:55:49,对不起，夜班刚下班,0,0
泽洛茨,男,2019-06-27 07:55:06,还有内心的艾特根哈哈哈，你的替身有自主意识的吗,13,0
萌え豚紳士,男,2019-06-27 07:54:53,说实话这集我哭了两次,0,1
キリや,保密,2019-06-27 07:54:37,没什么好说的，我听着听着就哭了T﹏T,0,0
我是教徒12138,男,2019-06-27 07:54:19,刚看完11集，过来翻翻12集的评论[害羞],0,0
钓鱼的小辣鸡,保密,2019-06-27 07:54:12,这集突然吹爆了，质量是真的高,0,0
-OnionKnight-,男,2019-06-27 07:53:17,这么牛皮的阵容结果做出来的番平平无奇，充其量就是音乐好听，但剧情方面是真的不行,2,1
十一区的福利,男,2019-06-27 07:52:19,奇迹的七分钟还没出现，肯定还有后续[画风突变],0,0
一坨面团儿,女,2019-06-27 07:52:09,看到安吉拉和塔奥我好开心[芮小凸小凹_呵呵],0,0
缎竹疾留风,男,2019-06-27 07:52:08,"如果说第11话结尾给我们的感觉是既仓促又吞刀子，如果说前面几话的剧情发展已经不能用水来形容，说洪水走向更为贴切的话，那么12话真的是给我们带来了出乎意料的惊喜，以及，给我们带来了久违的安心感。
首先还是说一下本话的缺点。尽管比起前面几话文戏确实细腻了不少，但是我个人认为仍未达到最高峰，甚至可以说还是缺乏一些必要的，能够烘托人物的手法，整体而言剧情发展还是比较快。当然，我不是动画制作组的人，我也无权去指责动画这样制作存在的问题。我个人只是认为，如果cat的表现手法能够更多元化一些，说不定能将人物的形象表现得更加细腻，也能给我们带来更大的惊喜。
不过，相信各位也和我一样，相比于本话的不足给我们带来的失望而言，我们更多是为12话给我们带来的一分细致入微而惊喜。
12话首先一个关键点就是塔奥和安吉拉的糖，以及在安吉拉表演完后塔奥的笑（我激情吹爆这个笑啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！）如果我没有记错的话，前面几话安吉拉表演时塔奥都中途离开了，然而本话还真的就看到了最后，并且，这个莫得感情的男人也终于露出了微笑。如果说安吉拉要求塔奥只准看她，塔奥就站到了最后是一种约定的达成的话，那么这一笑或许就真的是塔奥的真情流露了。我读书读的少，也解读不出来塔奥这一笑到底包含了什么，但一定是与安吉拉有关的，美好而又复杂的心情。
然后是安吉拉。安吉拉唱的歌里面的歌词除了与loneliest girl有相关的地方，它歌词本身的含义也是值得去玩味一番的。
安吉拉从小就被束缚在父亲（母亲）设下的一层隔离带中，一切道路都是被人为设定好，无可改变。她不想服从于父亲（母亲）的安排，想要突破他（她）的牢笼。如果从某种意义上而言，安吉拉个人也是一名loneliest girl，这或许也是为什么这首歌能与loneliest girl虽然风格不同却能产生如此强大共鸣的一个原因吧。
“当光芒黯灭，我在黑暗中孤立无援。当光芒退却，我才听见胸中的激荡。”这一句是我认为这首歌中最好的一句歌词。这句歌词第一次出现时，画面中有一个画面是塔奥看向安吉拉，脸上的表情其实已经产生了比较小的微妙变化，而下一个画面就是安吉拉唱出“听见了胸中的激荡”。这里面包含的意味是什么，我就不多做赘述了，每个人也有个人不同的见解。
评论字数限制，剩下的内容敬请见评论",145,5
泽洛茨,男,2019-06-27 07:51:56,感动到快要暴死[小电视_哭泣],1,0
31697470464_bili,保密,2019-06-27 07:51:47,只有你吹骨头社，你就是我异父异母的亲兄弟,0,1
名字,性别,时间,评论,点赞数,回复数
大佬诶大佬,保密,2019-06-27 07:50:55,我来说一下我对于掉分的看法:1.弹幕和评论的低龄幼稚化。关于这一点可能有很多人会觉得我说的偏激，但事实确实如此，试想一个人进来看见满屏“啊什么狗血剧情”“觉得主角组比皮某和某吉拉差的多了啊。。最烂女主”不好意思是个正常人都会觉得恶 心吧？   2.无脑吹和无脑喷。具体表现在星期二和安吉拉nc粉身上，就不举例了，弹幕和10.11集评论大家都懂   3.一堆自以为是的解读。什么一开始西贝尔的喷，还有关于星期二人物的杠精，以及其他杂七杂八的猜试（指的是过分解读）以上是我的个人看法，希望大家好好追番，不要让自己变成nc粉，吓退刚进番的新人哦/微笑,22,1
Salogia570,男,2019-06-27 07:50:43,特斯黛她妈妈口口声声说要带给民众温柔的政治策略却对自己的女儿说不要碍事，真不愧是个合格的政治家。,41,1
InsecureDig,女,2019-06-27 07:49:36,安吉拉真的好漂亮,0,0
梅斯阿特斯,保密,2019-06-27 07:48:38,所以到底多少集啊,0,1
KevinPang,保密,2019-06-27 07:48:30,讲日语，写英文,0,0
世之介，,女,2019-06-27 07:48:20,我是安吉拉的粉丝了,0,0
飞猪想上天了,女,2019-06-27 07:48:17,没有完结吧,0,0
头像是我本人照片,女,2019-06-27 07:47:33,这不是音乐番吗？[小电视_吃惊],0,0
我CP宇宙第一好,女,2019-06-27 07:47:12,猛男落泪[委屈],0,0
隔壁表弟,男,2019-06-27 07:46:27,手动倒带，听了不下20遍了。音乐区，你们什么时候准备好？,0,0
理想国中的2666,男,2019-06-27 07:46:23,这部番是真的小清新[响指],0,0
看那是什,保密,2019-06-27 07:46:14,这简直是暗箱操作！有钱大晒[2233娘_怒],0,0
小透明萌白白,保密,2019-06-27 07:44:59,这还揪着人家剧情迷，差强人意的各位，你们是来搞事情的吧，我都只能光顾着听歌吹骨头社了，那点小崩根本不算事，你们对着音乐番要求这么细致，是不是关声音看的猝死day(｀・ω・´),5,1
月のおに,保密,2019-06-27 07:44:29,连载中，是不是还没完结,0,0
芥末BILI,男,2019-06-27 07:44:22,妈呀！听安吉拉的歌居然没忍住哭了！,0,0
名为shiki的少女,女,2019-06-27 07:44:19,这一集太妙啦！哭成水母,0,1
奚惊蛰,女,2019-06-27 07:44:02,噢哥哥我喜欢你啊！,0,0
炩子,女,2019-06-27 07:43:34,剧情真的……不如不做,1,0
在盐酸酸化的条件下,保密,2019-06-27 07:43:20,to be continued！！,0,0
ApocalypseAndWar,保密,2019-06-27 07:43:02,B站的第一个会员给了这番[滑稽],0,0
名字,性别,时间,评论,点赞数,回复数
流浪の小花,保密,2019-06-27 07:42:47,"成长，心会变得浑浊。
欲望就像一把尖刀，
向前，也会划破身边。
当现在和原初，
视乎变得遥不可及的时候。
我又是谁，
要变成谁。
泪水会冲刷掉污秽，
我还是我。 最后艾迪跟也被感动落泪了，不容易啊，毕竟是个超级自恋狂[大笑]

两个女主的名字有什么含义，我最先想到的是星期，哈，毕竟英文原意就是周2嘛。
后面我想到了，
彩虹。
是的，
你们就像两道孤独的泪，
划过脸颊，
激荡出的，
闪闪发光的七色彩虹，
火星人铭记的，
七分钟。
[大哭]",4,2
德克萨斯007,保密,2019-06-27 07:42:40,会员要到期了[委屈]这个番是我冲会员的动力,0,0
31697470464_bili,保密,2019-06-27 07:42:24,安吉拉的歌曲给我的感觉是特别燃，听到卡二的歌曲内心特别激动，尤其是后面的can you  feel my，妈妈我要哭了(Ｔ▽Ｔ),0,0
师酱-斯卡哈,保密,2019-06-27 07:42:15,单冠军双出道,2,0
大漠之秋,保密,2019-06-27 07:42:00,吹爆骨头社！！为了完整度舍op，ed,0,0
龙龙T_T,男,2019-06-27 07:41:56,整个房间都是监控，那么安吉拉对他心动的时刻他应该也会了解吧(=・ω・=),96,6
LR_13,女,2019-06-27 07:41:10,工 具 人[芮小凸小凹_嗯？],0,0
城岚C,男,2019-06-27 07:40:39,我不知道你们刷泪目的是不是真哭了，我是坐在肯德基吃早饭捂着嘴稀里哗啦就开始哭。那句“献给全世界认为自己很孤独的人”和那首歌一样打动人,0,1
Emotional-惜,保密,2019-06-27 07:40:20,希望下一季可以做的更好,0,0
inaccuarcy,保密,2019-06-27 07:39:41,从音乐之美的感官上，我很难判断那首歌更好听。但是从感情上我是被C&amp;T俘获了，作为一名观众，观看两人的历程至今，能确实地对这首曲子身同感受，并为之感动。我想这也许就是作为人类写音乐之美的地方，我们创造出了的东西，是带有灵魂的温度，而并非是单纯的动听！,2,0
露娜・埃雷甘特,保密,2019-06-27 07:38:53,好听！,0,0
羽翼的音符,保密,2019-06-27 07:38:17,不是双冠军吧。凯瑟琳的意思应该是，安吉拉按照规则获得冠军，但规则之外承认C&amp;T有与安吉拉不相上下的水平，所以同样给予她们出道的机会。（安吉拉真的好可爱啊～）,0,0
咕咚的咚,保密,2019-06-27 07:38:13,"于是她们三个成为了新的组合  THE ACT

看完了，就感觉本来能到95分以上的，结果做成了90分上下[小电视_发愁]",0,1
澄色的橙子,保密,2019-06-27 07:37:25,我好想再听彼得唱啊，不知道还有没有机会,0,0
咖喱看我,女,2019-06-27 07:36:34,今天期末考试   姑娘们给我力量吧,0,0
lapenzo,保密,2019-06-27 07:36:20,这剧情有点软啊。安吉拉刚刚才说希望堂堂正正的对决，然后对面失格自动保送，还笑的那么开心，有点突然翻车的感觉。。前半集浪费这么时间，唱完直接结束也有点突兀。多给点时间让评委点评一下啊，让安吉拉说说自己的想法啊，让阿特根被打脸之后说些什么啊。。。感觉很多想看的都没看到。一首这么精彩的歌一句点评都不播，期待落空的感觉[捂脸],0,0
gellygelly,女,2019-06-27 07:36:19,只要没完结，就是春番向半年番的进化的一大胜利。[2233娘_耶],0,0
迦叶斩喜的猫,保密,2019-06-27 07:34:36,听哭了[大哭],0,0
風莘あ,保密,2019-06-27 07:34:08,早上好呀,0,0
邪恶的学子哦,保密,2019-06-27 07:33:27,大家不要急，片头一直说的改变火星的7分钟还没到怎么可能就这么结束了！,0,0
名字,性别,时间,评论,点赞数,回复数
待你最后,保密,2019-06-27 07:33:12,太爽了，ed都省了，不搞吊胃口的伎俩，直接宣布双冠，不然我得抑郁一星期，即想安吉拉赢，又不想卡罗尔就此结束[委屈]，我们就想在此刻唱歌，纯粹的就只是唱歌，唱一首梦开始的地方。,0,0
隔壁表弟,男,2019-06-27 07:32:34,看了下，从开始到现在的歌，足够出一张专辑了。那个骨头能不能先出个原声大碟上啊？我要听歌啊！我要看你们去b榜打榜啊！,3,1
小婊砸哥哥,保密,2019-06-27 07:32:32,走在路上，fire.fire.fire,0,0
uchaoxi,保密,2019-06-27 07:31:24,感觉同样唱孤独的歌，ct有种秀恩爱虐狗（安吉拉）的感觉,0,0
我永远喜欢番茄鸡蛋,男,2019-06-27 07:31:04,优秀,0,0
st1790,保密,2019-06-27 07:31:02,不得不说，这集我猛男落泪了，可能是受这两首歌的影响，但是无可否认看到安吉拉和C&amp;T真正找回自己重拾当初冲动，站在舞台上堂堂正正对战真的很令人感动，回顾2018年到现在，音乐番好像是接力一般，你完结了我就接上，剧情和音乐都没话可说，每个都能猛男落泪，我也推荐高考结束要补番的小伙伴去补一补，在听歌之余或许你能明白其中的人生道理，他们是《失落的歌谣》，《琴之森》，我也相信很多爱这番的人也看过这两个番，谢谢你们的陪伴。(｀・ω・´),2,0
鹿目圆之怒,保密,2019-06-27 07:30:35,我就怀疑选秀节目怎么会是传说中的奇迹的六分间，果然还有后续剧情,0,0
隔壁表弟,男,2019-06-27 07:30:32,就我个人而言，我更喜欢安吉拉的歌。,0,0
截肢实乃绿,保密,2019-06-27 07:30:31,这一集也太好听了,0,0
充电宝孔明,保密,2019-06-27 07:30:18,罗迪幸运e[doge],0,0
小凉子M,女,2019-06-27 07:30:06,为了ct开会员，真爽,3,1
園田すずこ,女,2019-06-27 07:29:38,我吹爆这集！！两首歌直接没有什么停顿一口气听完真的爽，啊啊啊啊真的太好听了，我哭了,0,0
鹿野清灵,男,2019-06-27 07:29:09,开心,0,0
可爱的特图,保密,2019-06-27 07:29:08,说实话我还是更喜欢酒吧那次的歌,0,0
清水学姐的学弟,保密,2019-06-27 07:27:13,温馨提示：我刚刚看了12集，这集重点就是一定要佩戴耳机，没有耳机的我要死了。看到的送我上热评谢谢！,2,0
听风雨000000,保密,2019-06-27 07:26:40,大清早听歌，提神醒脑啊！,0,0
撞尼玛的鬼,男,2019-06-27 07:25:46,12集完了吗？我可以开始看了,0,0
希望总在30亿光年开外,保密,2019-06-27 07:25:35,is love,0,0
音无凉子的笔记本,女,2019-06-27 07:25:32,吹爆bgm,0,0
nice柠,女,2019-06-27 07:24:39,"老实说，弹幕真的得关，开头几集都是“XX耳机准备就绪，XX耳机接受挑战”现在都是“掉分”
我琢磨着掉分也不影响你观看吧，人骨头社正常走剧情，不喜欢这个剧情的肯定有，你喜欢就看，不喜欢只要别影响别人观看也好说，弹幕都是“怪不得要掉分”...你们的思想很危险啊[小电视_汗]
真的得再来一次B站弹幕礼仪考试吗[小电视_嘟嘴]",54,10
名字,性别,时间,评论,点赞数,回复数
杰克的豆杆,男,2019-06-27 07:23:43,xs，工具人罗迪,0,0
Selith,保密,2019-06-27 07:22:18,只要你给我新歌我就吹爆[滑稽],0,0
村正Muramsa,保密,2019-06-27 07:20:24,后来三个人组成了著名的火星第一女团C.A.T.,0,0
雪季姑娘,女,2019-06-27 07:20:13,这集两首歌太棒了[喜欢],0,0
夜夜对尔想,保密,2019-06-27 07:20:12,真期望结局也和安吉拉双赢并成为好姬友[惊喜],0,0
蔻蔻·贝尼奥斯,女,2019-06-27 07:19:13,很好的番，我不需要什么狗屁神作什么神仙番，我需要的只不过是在等待过后的那个清晨让我看的很舒心，听得很感动的音乐番就好了。[一人之下_机智],6,0
-wxl,保密,2019-06-27 07:19:08,以为Loneliest Girl一半的时候就结束了，多亏还有:),1,0
雾中雨,男,2019-06-27 07:19:02,根你这是怎么了？,0,0
月之枫桦,保密,2019-06-27 07:18:26,太棒了 太好了  我找不到其他的词汇来形容了  抱歉！    真的大爱！,0,0
此生挚爱加藤惠,保密,2019-06-27 07:18:20,评分给我涨回去啊！,1,0
虚影双子,保密,2019-06-27 07:15:28,没说了，硬是把之前一两集质疑的声音给怼没了，骨头社nb!,0,0
甘乐Kanno,男,2019-06-27 07:14:02,看到番剧详情页显示连载中我就放心了[抠鼻],0,0
12XXX,保密,2019-06-27 07:13:58,"Can you any love with a broken heart
in the cold rain
I getting any try
I letted fly
you can get me in
so when the night fall
I&#39;ll be on your side
these eyes don&#39;t lie
Is made the faded heart
can nothing to hire
it&#39;s my only lie
can you feel my(省略n个)
…
keep keep close to your heart
any long go
keep keep close and you start to grow~
糟了要迟到了",29,10
東京美少女-Tokoy,女,2019-06-27 07:13:55,早安！看到不是12集完结就好开心了呀！,0,0
